date,open,high,low,close,volume,Log_Return
2021-01-04,44.94001244660701,45.74662931576125,44.93378598794968,45.63451385498047,32182200,
2021-01-05,45.656327955475554,45.8027014535208,44.99919937425632,45.39160537719727,26498100,-0.0053371286491115414
2021-01-06,45.18605691208044,46.12347592175846,45.16114038052496,45.67500686645508,21918900,0.0062240682323927874
2021-01-07,45.9739858184208,46.01758529201095,45.48191730519613,45.67189025878906,20538000,-6.823674947495027e-05
2021-01-08,45.7435183288677,45.780891340444754,45.41028336449316,45.6656608581543,24478200,-0.00013640393394058115
2021-01-11,45.469464795095696,46.08922033548643,45.469464795095696,45.8712158203125,26264400,0.004491202128276953
2021-01-12,46.4037656594944,46.69339761309937,46.191987618994204,46.3944206237793,23373300,0.011341392783190693
2021-01-13,46.3259020039348,46.42556099475083,45.914809557840336,45.92103958129883,16069500,-0.010255816104388091
2021-01-14,46.0362720223963,46.09232797955754,45.48191752589943,45.77155303955078,23017200,-0.0032606052444296924
2021-01-15,45.201628402556594,45.43831584982837,44.74381787552702,45.0459098815918,35920500,-0.01598059618525491
2021-01-19,45.04591073871343,45.179827742628696,44.43238524313197,44.6566162109375,24123600,-0.00867971352961947
2021-01-20,44.718902429203446,45.36357086875123,44.50089793757192,45.316856384277344,23775600,0.014676593126734402
2021-01-21,45.27012726549437,45.38535771558119,44.91197587213276,45.11129379272461,14325900,-0.0045464370383193915
2021-01-22,45.34487798303251,45.88677590613829,45.19538951529405,45.572227478027344,19219500,0.01016585259194017
2021-01-25,45.27013436049449,45.54730977348135,44.93066941449612,45.53173828125,19031100,-0.0008888570130984693
2021-01-26,45.35423025410287,46.03316032534453,45.30440431707686,45.939727783203125,15031500,0.008920644329476006
2021-01-27,45.76843363490327,46.04872408606802,44.70643922950149,44.796756744384766,29910300,-0.025194529056242792
2021-01-28,44.98984992773756,45.55043445938924,44.731360963344,44.76873397827149,22301700,-0.0006257491987496246
2021-01-29,44.59121641637803,44.7687364651011,43.70985688922016,43.75345993041992,32509200,-0.022939299702533358
2021-02-01,43.8842519547087,44.06488341040076,43.34858404632698,43.373497009277344,25945200,-0.008722107216805308
2021-02-02,43.5261115822718,44.2704391103613,43.42645257690197,43.84066009521485,27002400,0.010713112859085456
2021-02-03,43.80639243332762,44.23928636523747,43.79705096292144,43.97456741333008,14966700,0.003049754027944862
2021-02-04,44.158317712947145,44.59121168236622,43.99325773014016,44.38877868652344,17346300,0.009375251739736997
2021-02-05,44.67841163385214,45.111305578490665,44.38877614553459,44.95870208740234,20451600,0.012757631795497838
2021-02-08,45.09884621889151,45.33865219874291,44.98984220474587,45.167362213134766,15825300,0.004630414079890452
2021-02-09,45.0272132877813,45.5691111957737,45.0272132877813,45.41650772094727,15906900,0.005500894060984527
2021-02-10,45.41651888878145,45.4383168447695,44.70333439122111,44.88707733154297,18576900,-0.011725701811799568
2021-02-11,44.89018698295469,45.14244946540063,44.75626999464709,44.85281753540039,12791400,-0.0007635355013015968
2021-02-12,44.89641790494567,45.036564919360906,44.74381440776298,44.99296188354492,13423500,0.0031196671165123497
2021-02-16,45.450762210944646,45.590905629933005,45.13621381586778,45.36355972290039,27891000,0.00820305852631026
2021-02-17,45.04901714497243,45.93660650285584,45.0023026659441,45.84317398071289,25571100,0.010517176949845759
2021-02-18,43.2894041287495,43.81884551247375,42.82225227281305,42.8720817565918,96927300,-0.06700547124297641
2021-02-19,42.9156873413957,43.420208667185065,42.87519932412374,43.0838623046875,36606000,0.004927663326694861
2021-02-22,42.897003072254726,43.08386454831948,42.43296617548614,42.88143157958984,32106600,-0.00470960058684106
2021-02-23,42.700799332430826,42.78799826409866,42.06235745278058,42.19004440307617,31300200,-0.016254623332615594
2021-02-24,42.31462839919138,42.40494236027856,41.43638037096488,41.486209869384766,46565700,-0.016823198879336917
2021-02-25,41.45195877403904,41.73536072782971,40.94743372531047,41.09380722045898,33324600,-0.009503645463156565
2021-02-26,40.94742056752466,41.050194551546895,40.44289568091693,40.46158218383789,42470700,-0.015504498383454801
2021-03-01,40.97857467146544,41.28689314311513,40.838427643569325,40.91317367553711,34634400,0.011099170079045763
2021-03-02,40.95677240484884,41.342951913439705,40.48962040582692,40.5207633972168,29230800,-0.009637586730486411
2021-03-03,40.33078143371447,40.46469840524823,39.72348254492105,39.735939025878906,41837400,-0.01955847589002533
2021-03-04,39.82002863124409,40.35569654592138,39.327963748371786,39.71725463867188,45348000,-0.0004703243932605654
2021-03-05,39.49925983424673,40.40864728657505,39.47434330307043,40.21244430541992,34073700,0.012390788627519245
2021-03-08,40.27784390844209,40.43667386939217,39.80446190921872,39.826263427734375,40988400,-0.009649927776635907
2021-03-09,40.11278775415735,40.44913421488969,39.96329925024729,40.14081573486328,31988700,0.0078670856245315
2021-03-10,40.13146534822955,41.43637356446295,40.01000485200551,41.16542816162109,44929200,0.025205116399120542
2021-03-11,41.532924592639176,41.57340905206314,40.96299863634317,41.14985656738281,35489700,-0.0003783402918493622
2021-03-12,41.27132043904101,41.89419095222099,41.13429199125612,41.76961898803711,28437600,0.014948815289403797
2021-03-15,41.96270666784339,41.96582167974381,41.364752690089176,41.554725646972656,25071900,-0.0051580079853691535
2021-03-16,41.36474658384213,41.81943845975035,41.36474658384213,41.54226303100586,19881000,-0.000299953494308545
2021-03-17,41.26509116605976,41.46440914643507,41.10314263393986,41.19657516479492,24156300,-0.008356169490274297
2021-03-18,41.018315364771645,41.2653750576227,40.63365153652146,40.658668518066406,29815500,-0.013143064895474019
2021-03-19,40.69619975154713,41.43738244881101,40.624269662555605,41.199703216552734,57703500,0.013218991911129775
2021-03-22,40.96827557430678,41.42174144536956,40.96514755704351,41.39672088623047,24654000,0.004770619199922933
2021-03-23,41.19032079994903,42.000305600776805,41.165303816068885,41.88772201538086,29154900,0.011791081279322541
2021-03-24,42.040963391727146,42.040963391727146,41.6093864122268,41.628150939941406,23547300,-0.006216109634561283
2021-03-25,41.6750595256237,42.07223545847748,41.55309546669339,41.909610748291016,28125900,0.006738530401096179
2021-03-26,41.9064776165468,42.28175734758658,41.72508841669787,42.259864807128906,28653600,0.008322639015116243
2021-03-29,42.21921761668313,42.84781313884939,42.09412554734225,42.741485595703125,30146400,0.011332195085642286
2021-03-30,42.63515146983509,43.02919933422552,42.36619924493966,42.45063781738281,27230100,-0.006828070405393178
2021-03-31,42.39121987860285,42.80090067230896,42.2067062258277,42.47878646850586,24546000,0.0006628716111155606
2021-04-01,42.51319178951165,42.81029264670082,42.32242564577637,42.41312026977539,25595100,-0.0015470547040466508
2021-04-05,42.7571268298498,43.83293592412245,42.59450569014695,43.604637145996094,40043100,0.027705746563053718
2021-04-06,43.504561493370815,44.07999508970962,43.32004780987859,43.81417083740234,31044600,0.004793798897641507
