date,open,high,low,close,volume
2021-01-04,44.940012446607014,45.74662931576125,44.933785987949676,45.63451385498047,32182200
2021-01-05,45.656327955475554,45.8027014535208,44.99919937425632,45.391605377197266,26498100
2021-01-06,45.18605691208044,46.12347592175846,45.161140380524955,45.67500686645508,21918900
2021-01-07,45.9739858184208,46.01758529201095,45.48191730519613,45.67189025878906,20538000
2021-01-08,45.7435183288677,45.780891340444754,45.41028336449316,45.6656608581543,24478200
2021-01-11,45.469464795095696,46.08922033548643,45.469464795095696,45.8712158203125,26264400
2021-01-12,46.4037656594944,46.69339761309937,46.191987618994204,46.3944206237793,23373300
2021-01-13,46.3259020039348,46.42556099475083,45.914809557840336,45.92103958129883,16069500
2021-01-14,46.0362720223963,46.09232797955754,45.48191752589943,45.77155303955078,23017200
2021-01-15,45.201628402556594,45.43831584982837,44.74381787552702,45.0459098815918,35920500
2021-01-19,45.04591073871343,45.179827742628696,44.43238524313197,44.6566162109375,24123600
2021-01-20,44.718902429203446,45.36357086875123,44.500897937571914,45.316856384277344,23775600
2021-01-21,45.270127265494374,45.385357715581186,44.91197587213276,45.11129379272461,14325900
2021-01-22,45.34487798303251,45.88677590613829,45.19538951529405,45.572227478027344,19219500
2021-01-25,45.27013436049449,45.54730977348135,44.93066941449612,45.53173828125,19031100
2021-01-26,45.354230254102866,46.03316032534453,45.30440431707686,45.939727783203125,15031500
2021-01-27,45.76843363490327,46.04872408606802,44.706439229501484,44.796756744384766,29910300
2021-01-28,44.98984992773756,45.55043445938924,44.731360963343995,44.768733978271484,22301700
2021-01-29,44.59121641637803,44.7687364651011,43.709856889220156,43.75345993041992,32509200
2021-02-01,43.8842519547087,44.06488341040076,43.34858404632698,43.373497009277344,25945200
2021-02-02,43.526111582271795,44.2704391103613,43.42645257690197,43.840660095214844,27002400
2021-02-03,43.80639243332762,44.23928636523747,43.79705096292144,43.97456741333008,14966700
2021-02-04,44.158317712947145,44.59121168236622,43.99325773014016,44.38877868652344,17346300
2021-02-05,44.67841163385214,45.111305578490665,44.38877614553459,44.958702087402344,20451600
2021-02-08,45.09884621889151,45.33865219874291,44.98984220474587,45.167362213134766,15825300
2021-02-09,45.0272132877813,45.5691111957737,45.0272132877813,45.416507720947266,15906900
2021-02-10,45.41651888878145,45.4383168447695,44.703334391221105,44.88707733154297,18576900
2021-02-11,44.89018698295469,45.14244946540063,44.75626999464709,44.85281753540039,12791400
2021-02-12,44.896417904945665,45.036564919360906,44.74381440776298,44.99296188354492,13423500
2021-02-16,45.450762210944646,45.590905629933005,45.13621381586778,45.36355972290039,27891000
2021-02-17,45.04901714497243,45.93660650285584,45.0023026659441,45.84317398071289,25571100
2021-02-18,43.2894041287495,43.81884551247375,42.82225227281305,42.8720817565918,96927300
2021-02-19,42.9156873413957,43.420208667185065,42.87519932412374,43.0838623046875,36606000
2021-02-22,42.897003072254726,43.08386454831948,42.43296617548614,42.881431579589844,32106600
2021-02-23,42.700799332430826,42.78799826409866,42.06235745278058,42.19004440307617,31300200
2021-02-24,42.31462839919138,42.40494236027856,41.436380370964876,41.486209869384766,46565700
2021-02-25,41.451958774039035,41.73536072782971,40.94743372531047,41.093807220458984,33324600
2021-02-26,40.94742056752466,41.050194551546895,40.44289568091693,40.46158218383789,42470700
2021-03-01,40.97857467146544,41.28689314311513,40.838427643569325,40.91317367553711,34634400
2021-03-02,40.95677240484884,41.342951913439705,40.48962040582692,40.5207633972168,29230800
2021-03-03,40.33078143371447,40.46469840524823,39.72348254492105,39.735939025878906,41837400
2021-03-04,39.82002863124409,40.35569654592138,39.327963748371786,39.717254638671875,45348000
2021-03-05,39.49925983424673,40.40864728657505,39.47434330307043,40.21244430541992,34073700
2021-03-08,40.27784390844209,40.43667386939217,39.804461909218716,39.826263427734375,40988400
2021-03-09,40.11278775415735,40.44913421488969,39.96329925024729,40.14081573486328,31988700
2021-03-10,40.13146534822955,41.43637356446295,40.01000485200551,41.165428161621094,44929200
2021-03-11,41.532924592639176,41.57340905206314,40.96299863634317,41.14985656738281,35489700
2021-03-12,41.27132043904101,41.89419095222099,41.13429199125612,41.76961898803711,28437600
2021-03-15,41.96270666784339,41.96582167974381,41.364752690089176,41.554725646972656,25071900
2021-03-16,41.36474658384213,41.81943845975035,41.36474658384213,41.54226303100586,19881000
2021-03-17,41.26509116605976,41.46440914643507,41.10314263393986,41.19657516479492,24156300
2021-03-18,41.018315364771645,41.2653750576227,40.63365153652146,40.658668518066406,29815500
2021-03-19,40.69619975154713,41.43738244881101,40.624269662555605,41.199703216552734,57703500
