date,actual,q10,q50,q90
2025-01-02,0.0086294261388998,-0.011925753274861983,0.00011116542657408913,0.01330301419371361
2025-01-03,0.0071345682314361,-0.010891257289757704,0.0038935188770491563,0.014395933709917316
2025-01-06,-0.0068042280620455,-0.01222927785751647,0.002890884537486505,0.014383854880081627
2025-01-07,0.0108428878372956,-0.01202438590799945,0.001842647257747749,0.013709014352546123
2025-01-08,0.0129871024199959,-0.01202438590799945,-0.0021289495581332182,0.013721093182381811
2025-01-10,-0.0159325366655404,-0.009150771273899086,0.006618273150929933,0.014033149674916257
2025-01-13,-0.0081177530837347,-0.008863326662138423,0.00023088950563721758,0.01315030529029004
2025-01-14,0.0060397366101713,-0.011483119878046457,-0.00017824174951975257,0.014124637740282248
2025-01-15,-0.0004380057289109,-0.009625543842633108,-4.7792327182232586e-05,0.01433729439456595
2025-01-16,0.00698542478114,-0.00875468592103949,0.0067197198529081684,0.014549814377232895
2025-01-17,0.012323033929704,-0.00875468592103949,0.007549855191592538,0.0152246549047684
2025-01-21,0.0016103529073927,-0.00875468592103949,0.007924397890641246,0.014487820813492022
2025-01-22,0.0062017389458317,-0.008461529711280408,0.006255140869342757,0.013605645478360281
2025-01-23,0.0100760168384795,-0.006676353875146811,0.006670105419089907,0.009091116750619029
2025-01-24,0.0274788880393646,-0.006969510084905891,0.006337764297955578,0.00791118048482713
2025-01-27,-0.0011300633387611,-0.01174355706101424,0.005650492702164651,0.007074600963862434
2025-01-28,0.0021561573724247,-0.01635594421573374,-0.0026311209999398517,0.013845403261709945
2025-01-29,0.0117258027329497,-0.009426629163735524,-0.00452672815628719,0.012310477011970744
2025-01-30,-0.0049793269275384,-0.010528082533220278,-0.0011440490493098846,0.012392158607179533
2025-01-31,0.0139607417162129,-0.010038316762880924,-0.0029655556015712637,0.012392158607179533
2025-02-03,0.0122811182629493,-0.004409842575974348,-0.0061314546753272175,0.012310477011970744
2025-02-04,0.0166317505820839,-0.0037452931086383316,-0.0030104980317321233,0.01246983437477735
2025-02-05,0.0037991813772144,-0.004409842575974348,-0.0030739468988101653,0.012310477011970744
2025-02-06,-0.016666993957837,-0.013400288615882584,-0.003193905211721879,0.011189953658478347
2025-02-07,0.0173473615832222,-0.009899155595073438,-0.006350230843136748,0.011189953658478347
2025-02-10,-0.0043819767035535,-0.0036509024783588323,-0.008539218403632812,0.012179056409420217
2025-02-11,0.0110638246956754,-0.006434993661440526,-0.00891866758679245,0.01213249592390454
2025-02-12,0.0138025657754255,-0.006101001982632327,-0.008855218719714404,0.0123647248330593
2025-02-13,-0.0096610189525668,-0.0051741867787975905,-0.008855218719714404,0.01225821065357971
2025-02-14,-0.0025021956178496,-0.0049993751833899225,-0.008855218719714404,0.012291853286711146
2025-02-18,0.0021176668213792,-0.0036509024783588323,-0.006701131549167496,0.012310477011970744
2025-02-19,-0.0675173330618406,-0.006101001982632327,-0.006488176028656426,0.0125427059211255
2025-02-20,-0.0253151607298393,-0.006101001982632327,-0.006488176028656426,0.01275152822111043
2025-02-21,-0.0117804914828536,-0.008329810794257568,-0.0029597535911013665,0.01270906896350624
2025-02-24,0.0420212612649104,-0.009011472524081078,-0.016187734899109255,0.012621021187938852
2025-02-25,-0.0153698735068301,-0.009011472524081078,-0.016187734899109255,0.012621021187938852
2025-02-26,0.0061143044365472,-0.008329810794257568,-0.0017439152410271726,0.014887837203471567
2025-02-27,0.0186290516265068,-0.008329810794257568,-0.0017439152410271726,0.01288360289962157
2025-02-28,-0.0103975799341813,-0.007660633027720553,-0.007579194207640922,0.012320447041178784
2025-03-03,-0.0272140010742241,-0.008963914279584732,-0.007773092497056484,0.012233432443524962
2025-03-04,0.0105788993243055,-0.008963914279584732,-0.007773092497056484,0.012233432443524962
2025-03-05,-0.0140597595892041,-0.008352137843727061,-0.013839437909310763,0.011602489416195426
2025-03-06,-0.0313397226375986,-0.008034032325903275,-0.015742239368789396,0.010927648888659922
2025-03-07,-0.0434512658177486,-0.009845021165547205,-0.00500312149656578,0.013976204049373876
2025-03-10,-0.0043363225648914,-0.0103093069825672,-0.003987009153252203,0.01270906896350624
2025-03-11,-0.0259514479150297,-0.012534071846054687,-0.011375253035913144,0.01270906896350624
2025-03-12,-0.0082499459045078,-0.012435823290394724,-0.011095832701026978,0.013196681691617317
2025-03-13,0.0100088357926629,-0.013117485020218235,-0.00892547884779972,0.012898994976039899
2025-03-14,0.0244212966436225,-0.013117485020218235,-0.007418066833500175,0.013196681691617317
2025-03-17,-0.0216131139358937,-0.012435823290394724,-0.005948621220036308,0.013196681691617317
2025-03-18,0.0086086488838704,-0.01176664552385771,-0.011143521261473787,0.013213315746270979
2025-03-19,-0.0060416823410023,-0.01197153747337473,-0.008073664892565896,0.013888156273806483
2025-03-20,0.0047216834367504,-0.01176664552385771,-0.00932674733457495,0.012993902108839054
2025-03-21,0.0174096518504672,-0.012227752895528155,-0.00932674733457495,0.012993902108839054
2025-03-24,-0.0317007483274018,-0.011325024724750875,-0.0009798642001153433,0.013081949884406446
2025-03-25,0.0052950096460504,-0.009551152143682623,-0.0002686202012529158,0.013003676806260953
2025-03-26,0.0049169781227317,-0.013081117793649651,-0.002321365504021684,0.013976204049373876
2025-03-27,-0.0056213555675723,-0.009476443307466524,-0.0018684411477221813,0.013976204049373876
2025-03-28,0.030533236887876,-0.008904163108095935,0.005217269855907337,0.014405099923664146
2025-03-31,0.011776898645491,-0.009476443307466524,-0.0018684411477221813,0.013976204049373876
2025-04-01,0.0104149426993576,-0.008943870050994392,0.0028059201159605844,0.014714429818384549
2025-04-02,-0.0282472310652065,-0.012176160225712697,0.005282482876987501,0.011998306698075972
2025-04-03,-0.0477649999824892,-0.01273611701899256,0.006272881174341094,0.011998306698075972
2025-04-04,0.0076637065774873,-0.0077759741824882595,0.0030100142668770566,0.014096079928053982
2025-04-07,-0.0246358563855824,-0.01458171793999717,-0.0013700894474833571,0.013400543545695406
2025-04-08,0.0912002356816187,-0.015046003757017165,-0.0013700894474833571,0.012562655091615253
2025-04-09,0.0112092918954363,-0.015269406876428025,0.0013465497095775634,0.01270906896350624
2025-04-10,0.0238821491190744,-0.020348452403695684,-0.008461572397667885,0.012580648207581016
2025-04-11,0.0205840506482199,-0.016858579249252232,0.0017440906289064326,0.012065270516573754
2025-04-14,-0.0080552221235543,-0.019545661883585818,-0.0034625391809316856,0.012965095881180302
2025-04-15,-0.030030297870585,-0.019545661883585818,-0.003593333144836431,0.014085619234672699
2025-04-16,0.022017034848519,-0.01963384574898312,-0.007389763158444659,0.014071799399881674
2025-04-17,-0.0087270518490969,-0.013973555890463873,0.0003168747537286847,0.01216946872090157
2025-04-21,0.0260614695000135,-0.01198701386375793,0.0008081616080184175,0.010796343684047385
2025-04-22,0.001159018502695,-0.013646832490805573,0.001803793227280179,0.010191198021562254
2025-04-23,0.0092243440932924,-0.013646832490805573,0.00013007586412017798,0.010191198021562254
2025-04-24,-0.0078563760001708,-0.012061262791671076,-0.0009983331092691466,0.009980634099699163
2025-04-25,0.00136634132044,-0.016770963692911624,-0.006728218566843729,0.012177405737544979
2025-04-28,0.0085747390282072,-0.008908559807533356,-0.004104957958781577,0.012409634646699735
2025-04-29,0.0125202257517147,-0.011826650356642578,-0.008749140878744318,0.013406247553010273
2025-04-30,0.0016439137395332,-0.007951034460785277,-0.006051820633942811,0.014387389383277095
2025-05-01,0.0136625309388148,-0.006637467730670872,-0.006051820633942811,0.013299058571961665
2025-05-02,0.0058561772512831,-0.004403117768083006,-0.00689511985799171,0.012554784750961188
2025-05-05,-0.0078835349233645,-0.0060279099894944,-0.006726613846312166,0.012919592981691902
2025-05-06,0.0028371668334815,-0.0057296974261373985,-0.0018774725206163116,0.007615585682025017
2025-05-07,-0.0142670998984819,-0.004672108312473071,-0.002227756080594023,0.012432592507719248
2025-05-08,-0.0048990027925081,-0.004075850897166155,-0.002227756080594023,0.012636466346169977
2025-05-09,0.000310045050112,-0.004075850897166155,-0.0010386261322899027,0.014240484482512493
2025-05-12,-0.0090329634564342,-0.004075850897166155,-0.0005303083289723154,0.014825718651869758
2025-05-13,0.0098594916364391,-0.0045856017795164105,-0.0005303083289723154,0.014837797481705446
2025-05-14,-0.0049694474737846,-0.004820709889000969,-6.531567838851041e-05,0.014349373224401638
2025-05-15,0.0194259869150437,-0.004615817939483951,-0.003257340618451849,0.01433729439456595
2025-05-16,-0.0012221617610089,-0.00520755187146606,-0.0031819232909033497,0.014349373224401638
2025-05-19,-0.0032666282953892,-0.006074556025650003,-0.00863818755986032,0.01344304022959852
