date,actual,q10,q50,q90
2025-01-02,0.0435742898477838,-0.03224261168879705,0.006844280453678546,0.0309957626075831
2025-01-03,0.0337561131445502,-0.03361334909169429,0.00851200367976398,0.030735793351795333
2025-01-06,-0.0641861415206875,-0.0319613327436829,0.0005069558957314429,0.034778143046134774
2025-01-07,-0.0002140354896439,-0.031021955679891168,0.0026202572302024495,0.03298924629597011
2025-01-08,-0.0304348219368102,-0.0378275746949962,0.0021855748218021485,0.035338877305099756
2025-01-10,-0.0199160048116755,-0.033629839348751675,-0.000511952491753184,0.034230536917089244
2025-01-13,-0.0110950366146421,-0.035561261099155986,0.0012389871437464308,0.03652246520930058
2025-01-14,0.0334361793744498,-0.047029467079336695,-0.0032499950243920863,0.03652246520930058
2025-01-15,-0.0197924326221573,-0.04284291489510643,0.0004865159583219197,0.03433145447731156
2025-01-16,0.0305243560552525,-0.03664124826138297,-0.0006640850359390061,0.03433145447731156
2025-01-17,0.022403419580088,-0.03664124826138297,0.001113360172060262,0.03837380417165098
2025-01-21,0.0433552981950912,-0.03496352975751803,0.001113360172060262,0.03837380417165098
2025-01-22,0.0010193287990523,-0.03253233123017116,0.0018226154449277165,0.036081875879439645
2025-01-23,-0.0317442971738822,-0.03159295416637942,0.0021085526859406377,0.02732612712337687
2025-01-24,-0.1859461738878906,-0.029924447561310647,0.0028218145614119327,0.0312556232385474
2025-01-27,0.0854972427329861,-0.033629839348751675,0.0004554691667377711,0.032599068333092326
2025-01-28,-0.0418756473074404,-0.05145687372395391,0.023173286223837655,0.05453242035341285
2025-01-29,0.0076506319335086,-0.04315710817109884,0.013993546745309001,0.05151694990884381
2025-01-30,-0.0374349270048561,-0.048187565603505414,0.01932571485012287,0.05203129140191039
2025-01-31,-0.0288111642264874,-0.048187565603505414,0.014146697163615576,0.058797340376125135
2025-02-03,0.0169141992824819,-0.05119274806717361,0.021886053966993974,0.058797340376125135
2025-02-04,0.0507748013438625,-0.04796010015336452,0.007783091033442781,0.058797340376125135
2025-02-05,0.0303758794576582,-0.04891800574068282,0.02556878282711959,0.05339639403148792
2025-02-06,0.0089742245992234,-0.05940484895183007,0.007783091033442781,0.05502786261548484
2025-02-07,0.0283228276213516,-0.05807115854306373,0.00835446746491935,0.05502786261548484
2025-02-10,-0.0057813419893616,-0.04017242809411542,0.013447155589990717,0.04987387422390055
2025-02-11,-0.0125788956839658,-0.0357502859309215,0.002018991530822066,0.038468845560344314
2025-02-12,0.0311550513930071,-0.03569573769406413,0.0007302255878603567,0.03159104714608915
2025-02-13,0.0259736639788226,-0.03086382462510238,-0.002513026965797954,0.03282163866146519
2025-02-14,0.0039532908820288,-0.0360805639138759,0.0033844332167174084,0.032039526185100226
2025-02-18,-0.001220248383954,-0.03086382462510238,-0.00024034793353423827,0.03242970414797801
2025-02-19,0.0063005964142584,-0.03086382462510238,0.0021907739958405667,0.03411244195763949
2025-02-20,-0.0413842464833127,-0.03086382462510238,0.001864064909399247,0.03366029566335403
2025-02-21,-0.0313575179421952,-0.03086382462510238,0.007159950632154046,0.030437457372794463
2025-02-24,-0.0284165913603332,-0.03361334909169429,0.01001244262883561,0.034778143046134774
2025-02-25,0.0360630479533659,-0.03410303944139002,0.001113360172060262,0.03421860089814267
2025-02-26,-0.0885915139190295,-0.03712697406884857,0.004882243227881437,0.03421860089814267
2025-02-27,0.0389325398013286,-0.03334011980737757,0.001390809763889849,0.03989241917647901
2025-02-28,-0.0909489275428901,-0.04522072218911896,0.001218708641859268,0.04638896288087917
2025-03-03,0.0167793691171569,-0.04522072218911896,0.001218708641859268,0.052181616331717
2025-03-04,0.0112308163249455,-0.0543747339235139,-0.01995454242686311,0.052181616331717
2025-03-05,-0.0590859937877392,-0.052060345657356344,0.0026130180403185405,0.052181616331717
2025-03-06,0.0189919047635003,-0.0543747339235139,0.0039508915365508695,0.052181616331717
2025-03-07,-0.0519988219437594,-0.052060345657356344,0.021523830148221287,0.052181616331717
