date,actual,q10,q50,q90
2025-01-02,0.0606324049942895,-0.0336558630799456,-0.015023714388296713,0.04578740019190105
2025-01-03,-0.0509705506705913,-0.030610840824691888,-0.016413983992661262,0.04923638959185538
2025-01-06,-0.0813277860039502,-0.03839645791827053,-0.012161699452178326,0.043417595823292375
2025-01-07,-0.0254679441519204,-0.03839645791827053,-0.004165547470411584,0.04578740019190105
2025-01-08,-0.0143186619546798,-0.036255268965918186,0.0003995889346864827,0.09129655050562559
2025-01-10,-0.0344861561709282,-0.0424893200469834,-0.0013511011530523039,0.09129655050562559
2025-01-13,0.0142106487249186,-0.037695086750336004,0.0005206867330020819,0.09087997938377697
2025-01-14,0.0332741726486044,-0.042474523945159146,0.003670622709156346,0.09087997938377697
2025-01-15,0.0160142961799556,-0.04315818376862372,0.0023296775705434034,0.0953939639373979
2025-01-16,0.035887815213027,-0.0406953499533037,0.005012985165348763,0.07441430652857335
2025-01-17,0.0179513669581548,-0.041245773292795114,0.014691408272157041,0.07441430652857335
2025-01-21,0.050697837464619,-0.044399648431570383,0.0055323630773900885,0.07103987839538627
2025-01-22,0.027078979270833,-0.050499058116966915,0.0007444035109525599,0.05706844730157313
2025-01-23,0.0,-0.05253056426950737,-0.0008432736588392088,0.028979717481616013
2025-01-24,-0.0458570276746666,-0.052370931659896376,-0.0029689073973169183,0.024965094080577246
2025-01-27,0.0615598809195132,-0.0547739671463244,-0.0009769518291298633,0.038398348657675156
2025-01-28,-0.0058753991701266,-0.04387651293843215,-0.0016601930702159326,0.038398348657675156
2025-01-29,0.0181393848509264,-0.03829302717159378,-0.010939246956950813,0.038398348657675156
2025-01-30,0.0155155106880589,-0.031566266809799674,-0.01477490789254651,0.038398348657675156
2025-01-31,0.015039687104923,-0.028102645473694527,-0.016237906153600816,0.038398348657675156
2025-02-03,0.2150382288697624,-0.031566266809799674,-0.016237906153600816,0.038398348657675156
2025-02-04,-0.0240764219159787,-0.04505113746718841,-0.01848201262986829,0.038398348657675156
2025-02-05,0.093370994611028,-0.0515470773361613,-0.01754119005338497,0.042948250407115966
2025-02-06,-0.0038716143484713,-0.048555572709544505,-0.01772492888282628,0.042948250407115966
2025-02-07,0.0510000892512078,-0.0515470773361613,-0.015355121005444044,0.042948250407115966
2025-02-10,-0.0351586673337488,-0.048555572709544505,-0.015355121005444044,0.042948250407115966
2025-02-11,0.041482375476561,-0.0515470773361613,-0.024140698286880573,0.042948250407115966
2025-02-12,0.0044199329560135,-0.048555572709544505,-0.014534413604132974,0.03693933301587323
2025-02-13,0.0105455059306926,-0.0515470773361613,-0.01574120833555149,0.03693933301587323
2025-02-14,0.0448019705779444,-0.049485982279396996,-0.02359177840996208,0.03693933301587323
2025-02-18,-0.1062347088051929,-0.049485982279396996,-0.023929695460721614,0.03693933301587323
2025-02-19,-0.0530514265546593,-0.049485982279396996,-0.02460185837293135,0.03693933301587323
2025-02-20,-0.0474031359534105,-0.041429720746554204,-0.006478702026628979,0.04512973232415244
2025-02-21,-0.1112430288377269,-0.04495875382713664,-0.021850184067653197,0.0620119763012047
2025-02-24,-0.0318198929342035,-0.03995739551584218,-0.01177382870758833,0.09246983714210223
2025-02-25,0.0165965002889405,-0.0537774146923502,-0.03352177417022626,0.09423693491706712
2025-02-26,-0.0521717693396571,-0.06444185562194947,-0.025870067153281297,0.09423693491706712
2025-02-27,0.0017679482531187,-0.04580830062438225,-0.0265638137848972,0.09423693491706712
2025-02-28,-0.0178215484539709,-0.05612095011021699,-0.004686413873034102,0.10476337623385891
2025-03-03,0.0116793528620748,-0.05612095011021699,-0.0017031488309559946,0.10476337623385891
2025-03-04,0.0656856224137118,-0.05638565570059324,-0.009490840795046198,0.09815440088283624
2025-03-05,-0.1134928869517794,-0.06194729812998946,-0.012286367627314358,0.08009887026930733
2025-03-06,0.0538317599975994,-0.04996266386265259,-0.012862917845159536,0.08060617762807644
2025-03-07,-0.1058710693026477,-0.06799765116139043,-0.0242986686308791,0.07735469094001489
2025-03-10,0.0216288402235468,-0.05793177793062054,-0.019409964330881404,0.08186867549363581
2025-03-11,0.0692917596125866,-0.05349169694323502,-0.015337834018262525,0.09875091947068808
2025-03-12,-0.0493760936057604,-0.04725764586216981,-0.014696918452351614,0.09465350603891577
2025-03-13,0.0798687303216227,-0.04495875382713664,-0.014908659876101245,0.09465350603891577
2025-03-14,0.0127889367215779,-0.049398834814522154,-0.01760485209790357,0.07777126206186354
2025-03-17,-0.0404166095289176,-0.049398834814522154,-0.01187306415866135,0.04769888219222191
2025-03-18,0.0260029841289285,-0.05561419685607855,-0.02147378354501172,0.04175530419096533
2025-03-19,0.0148714589437122,-0.05503852244429477,-0.015674344807818926,0.04095395641691201
2025-03-20,0.0400389867218898,-0.04780869977107171,-0.018069244657972768,0.07439683392867642
2025-03-21,0.061710492532775,-0.05561419685607855,-0.02562334109358216,0.04175530419096533
2025-03-24,-0.0025873235649509,-0.05026463232677033,-0.026405748793843307,0.04175530419096533
2025-03-25,-0.0447155882676397,-0.03791669869682012,-0.012586576228679917,0.038398348657675156
2025-03-26,-0.0240182900634074,-0.03761618484588069,-0.012578013634719231,0.038398348657675156
2025-03-27,-0.0482075604441874,-0.044399648431570383,-0.010825520877233813,0.038398348657675156
2025-03-28,-0.0170341498886604,-0.03680632287482009,-0.013029004716210912,0.038398348657675156
2025-03-31,0.00331203018949,-0.03395637693088502,-0.012497350090737052,0.04578740019190105
2025-04-01,0.0321877166969018,-0.028219643014472523,-0.014650950485879109,0.09129655050562559
2025-04-02,-0.0450236647289213,-0.02886162978329819,-0.015279953446565001,0.06266964416895333
2025-04-03,-0.1218432537650624,-0.03395637693088502,-0.0136320177401018,0.04578740019190105
2025-04-04,0.0504551427576691,-0.03395637693088502,-0.012353115463355073,0.09129655050562559
2025-04-07,-0.0067027404379113,-0.046191446596907396,-0.012924431704963954,0.09205326602025359
