ticker,date,open,high,low,close,volume,log_return,volatility_5,volatility_10,volatility_20,volatility_60,MA50,MA200,BullBear,Volatility,HighLowVolatility,TrendStrength,garch_forecast,target_volatility
ACN,2023-03-17,241.8659068804793,243.197290480379,236.2455381268449,237.74810791015625,6470800,-0.0116123926736164,0.311839086433706,0.25771431661840993,0.22892104531547688,0.25490062797851026,259.687431640625,265.6577792358398,0,8.074637865221113,1,-0.08448357932404688,0.01706037248919727,0.35536562560707735
ACN,2023-03-20,238.43282358851377,241.4474678550744,237.7576125773064,240.1731414794922,3182100,0.0101483429959165,0.32014863587362574,0.26938466091416385,0.23304268598875674,0.2503270711605946,259.5094317626953,265.45561241149903,0,7.615833476942071,0,-0.07451093454239048,0.01702192095196178,0.3614526444742054
ACN,2023-03-21,242.38893441731148,245.83152207519527,241.49499928800665,244.99464416503903,2831200,0.019876263682075,0.34815618666315057,0.2867950218374514,0.22991874216828137,0.24764769456840427,259.3098504638672,265.2401109313965,0,7.42815688062813,0,-0.05520502315365323,0.016978250108337235,0.3636788960314032
ACN,2023-03-22,244.65231401963345,248.51334084043216,240.62960572122176,240.8578491210937,3059300,-0.0170294279587489,0.30668687829710334,0.2958199012484143,0.2352441935854535,0.24803596258650842,258.94153381347655,265.0117707824707,0,7.28691476015079,0,-0.06983694128192307,0.016988704077232634,0.3613384537573425
ACN,2023-03-23,246.73500868521404,261.1520290340077,246.59233659669948,258.3466186523437,5166900,0.0700952446080712,0.5507347790649284,0.46666140744093493,0.3501979633723742,0.2871796872148084,258.9006414794922,264.87190795898437,0,7.3197850428260045,0,-0.0021399051929054396,0.01697976804523314,0.1423550384958819
ACN,2023-03-24,257.1959256697241,258.7460190206663,251.8418334086685,258.6699523925781,4123600,0.0012507675788163,0.5192854942292171,0.43463854006443026,0.3439979619235118,0.28709932733932514,258.72794250488283,264.7252055358887,0,7.646851521688395,0,-0.00022413548279043554,0.017796555290383806,0.14312589449678687
ACN,2023-03-27,257.46221773575354,260.9142962363686,257.37663189081155,260.5339050292969,3743800,0.0071800724044369,0.5221252102307644,0.4278794006828921,0.3445823634051623,0.2868307851932259,258.54002685546874,264.6060975646973,0,8.108554242323212,1,0.00771206763640808,0.017723416148062967,0.1565598184750817
ACN,2023-03-28,260.495829246945,262.6260427582061,259.24051241838794,261.5228881835937,2869400,0.003788799801958,0.5275963459146461,0.42812410808476226,0.34433265333177493,0.2841528732648968,258.40422424316404,264.52580657958987,0,8.627375439396783,1,0.012068935597178646,0.017660081750956923,0.1637467406006659
ACN,2023-03-29,262.4739427589923,266.5251802929611,262.4739427589923,266.2208557128906,2431500,0.0178044427315574,0.45547933100015253,0.3852230402725106,0.3470599505698862,0.2860427161273609,258.3102667236328,264.5132600402832,0,9.527320649890438,1,0.030624369250183053,0.01759109781766697,0.1440738026200148
ACN,2023-03-30,267.2288747072376,269.168907404222,267.0196552102884,268.8075256347656,2293600,0.0096693564892156,0.10129058091501533,0.3770842631036388,0.34768734276762603,0.2855680148633816,258.4008026123047,264.55832382202146,0,10.506928092070478,1,0.040273570814231614,0.017576616085492526,0.17927857848765155
ACN,2023-03-31,269.2449592673452,271.9457741567997,268.759943864195,271.8031311035156,3009300,0.0110824161209468,0.08274417526923958,0.35536562560707735,0.3463117975530565,0.2861958899554754,258.64653869628904,264.6248489379883,0,11.549511020458572,1,0.050867073163022185,0.017522834026161095,0.16823166479690357
ACN,2023-04-03,269.5017208084836,272.4212451017378,269.28298213239725,271.8316345214844,2417300,0.0001048623811323,0.10862217198848835,0.3614526444742054,0.34643203385583965,0.28144495470252673,258.7486749267578,264.6630004882812,0,12.446759634584433,1,0.050562421617926595,0.017475064335795983,0.16818189595925753
ACN,2023-04-04,270.5002511109151,273.3437087901289,270.29103164482694,271.8316345214844,2331700,0.0,0.12151772280690072,0.3636788960314031,0.3356725232821102,0.2777088448853713,258.8723034667969,264.7494932556152,0,13.27110440020412,1,0.05006070901033896,0.017406135929136743,0.16812514381212793
ACN,2023-04-05,272.21207051969463,272.8397290214514,267.14329351376125,267.5426940917969,2443200,-0.015903726230138,0.17103808827218345,0.3613384537573425,0.3424831729966657,0.2779020423821082,258.9951727294922,264.7934945678711,0,13.694258196908534,1,0.03300262808848622,0.017338174260720814,0.16755969388173936
ACN,2023-04-06,266.9055215783586,268.4080767506483,265.1937179021728,267.8945617675781,2125300,0.0013143191758999,0.15373950498365363,0.14235503849588177,0.3358611232221175,0.2777960136615594,259.15760192871096,264.80472564697266,0,13.998065023787511,1,0.033712921302885515,0.01731656939410399,0.16848680461921145
ACN,2023-04-10,264.3663848152969,267.9231163526248,262.8162624611176,267.87554931640625,1575900,-7.097242188968981e-05,0.11564972854664382,0.14312589449678673,0.31642852265434473,0.2725707349113944,259.29872802734377,264.79862030029295,0,13.93405047395517,1,0.033076989441143845,0.017250181427623024,0.17016484126633416
ACN,2023-04-11,269.14039542879567,273.56250472831385,268.70291798505025,272.29766845703125,3122500,0.0163733328015571,0.1813727940108909,0.15655981847508157,0.3154522448465118,0.27391041871380734,259.47104797363284,264.8173034667969,0,13.844941534183612,1,0.049433725201980305,0.017184422598089822,0.1738371706497319
ACN,2023-04-12,275.33365851054623,275.58186765048066,270.13038612360754,270.91326904296875,2656000,-0.005097108013753,0.1855411869133969,0.1637467406006658,0.31810571797787773,0.2738294376210759,259.6717895507812,264.76545471191406,0,13.555610958714249,1,0.0432911080238431,0.017168136325262446,0.177469541264697
ACN,2023-04-13,270.1876999617126,272.4981517706031,267.0561970427888,272.3549194335937,3164200,0.0053073373527709,0.12808453252786722,0.14407380262001465,0.29588006301759,0.27332865443194854,259.81139892578125,264.7525251770019,0,12.561155963970615,1,0.04827933092880069,0.01710825533317661,0.19934533813985572
ACN,2023-04-14,270.46455672849885,272.04940667412944,265.20400286539586,266.6074523925781,2871700,-0.021328705762303,0.2206091299576726,0.17927857848765147,0.3033670124337593,0.2720655542299243,259.74951904296876,264.75229400634765,0,11.686689888358252,1,0.026402102205528636,0.017049641135772977,0.1972145984988251
ACN,2023-04-17,266.15875944467365,269.0611373288854,266.15875944467365,267.304443359375,2899000,0.0026108853100118,0.22210895368794023,0.16823166479690346,0.29708100681497074,0.26940382663372214,259.50186950683593,264.7742924499512,0,10.246343854730476,1,0.03006750536081795,0.017069662083512974,0.19748628739510368
ACN,2023-04-18,268.6219205410419,268.6696743629812,265.8054939408213,267.2853088378906,1893800,-7.158581478191036e-05,0.1677836193294287,0.16818189595925742,0.29733866288134053,0.2635037530963545,259.3466546630859,264.8063426208496,0,8.683247172887164,1,0.03061020465105943,0.017007713358419493,0.20307133443109884
ACN,2023-04-19,266.1778220292859,267.3235058516013,264.9462454266392,267.22802734375,2204700,-0.0002143313944947,0.16882877342616748,0.16812514381212781,0.2928368362021043,0.26336786048188676,259.28044921875,264.82401275634766,0,7.336366936041821,0,0.030652438889809182,0.016945406810367564,0.20419669331092202
ACN,2023-04-20,264.7267003997686,265.00357938679576,261.59519701697445,263.07501220703125,2686100,-0.0156631198869758,0.17148080231065815,0.16755969388173925,0.2915515734744061,0.2632462775773246,259.06765625,264.8466624450684,0,4.468689584173401,0,0.015468376157169263,0.016884000708364887,0.24754434717508547
ACN,2023-04-21,263.2468587992445,265.2517619818022,262.93178260590355,263.8196716308594,1600700,0.0028265987206473,0.12247371087507707,0.16848680461921137,0.1575215579043803,0.262968251374327,258.9289093017578,264.86941802978515,0,4.059940941082339,0,0.01888843676162027,0.016868674833847307,0.24517892637661062
ACN,2023-04-24,263.31360221245706,265.0512117331392,262.41615681764074,264.6979675292969,1359700,0.003323623061432,0.12429272369838862,0.17016484126633405,0.15772862520639833,0.2629296240742345,258.7991687011719,264.88031051635744,0,3.58362395965315,0,0.022792958948551233,0.01680983875477754,0.24194346083007942
ACN,2023-04-25,263.3709451775579,264.18246885905273,258.3395449698139,258.444580078125,1935400,-0.0239081502601584,0.19599509974300763,0.17383717064973178,0.17912204283888086,0.26655469335046167,258.5671844482422,264.8614862060547,0,3.8221191368702776,0,-0.0004741683302883681,0.016752422497937177,0.21701889372668295
ACN,2023-04-26,259.5424966809746,261.1846280074151,257.9672032258078,258.93145751953125,2009400,0.0018821033435938,0.20088786823625604,0.17746954126469688,0.17865755801881278,0.2657113012421763,258.2614410400391,264.8648274230957,0,4.070144277636308,0,0.0025943341630634727,0.016799739414093507,0.24577299950923853
ACN,2023-04-27,261.45198425693115,263.9724482848161,258.56869018593693,262.97955322265625,1983600,0.0155129008612406,0.22933058255326305,0.19934533813985564,0.1757047444663084,0.26529257463949385,258.1047509765625,264.89404678344727,0,4.180031139985005,0,0.01888691404419905,0.016741078843237597,0.2405502462746148
ACN,2023-04-28,261.3278700991456,267.7340799760963,261.3278700991456,267.6004333496094,2084500,0.0174186628909558,0.2620201202880035,0.197214598498825,0.18369091694529865,0.2656318259450948,257.98570068359373,264.9488693237305,0,4.163922064444065,0,0.0372684712390615,0.01672732766306647,0.2416214390791106
ACN,2023-05-01,266.4546992303576,267.23758219932245,264.8889624283776,266.769775390625,1165600,-0.0031089256640907,0.2652408814755177,0.19748628739510357,0.17895054670992752,0.25456138504101294,257.9723345947266,265.01603950500487,0,4.015169352495831,0,0.034102264530493746,0.016725463783693082,0.24158263890893722
ACN,2023-05-02,267.1898330960221,267.6863096880108,261.6237885711541,264.2110900878906,1728300,-0.0096376546659834,0.1866117044394582,0.20307133443109873,0.18152304633017802,0.25307429995959724,257.9871075439453,265.0569799041748,0,3.8782205308266247,0,0.024125168901648127,0.016669020951155612,0.23810830485751927
ACN,2023-05-03,265.5286401328367,266.9225332454448,262.37805302473345,262.72174072265625,1951200,-0.0056529153023566,0.20022168942646587,0.20419669331092194,0.18204413147240345,0.2511384997672702,258.1223501586914,265.10400451660155,0,3.749846210306681,0,0.017818645154660882,0.016628944912637767,0.2515025032564007
ACN,2023-05-04,260.9077232790391,261.385086650754,253.6517942017836,254.43467712402344,2586200,-0.0320513203870346,0.28028483344422805,0.24754434717508542,0.20617358607630704,0.2579878726758891,258.0827227783203,265.05589378356933,0,4.534540500701196,0,-0.014135179662647785,0.016578088322765288,0.156147433971614
