date,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2022-05-31,18.616371154785156,19.142797955948794,18.29532999144944,18.923452187686582,664100000
2022-06-01,18.265417098999023,18.99623300147652,18.06800706571725,18.668214653926945,544514000
2022-06-02,19.533626556396484,19.560546538437922,18.14378074438324,18.237500543404728,648656000
2022-06-03,18.664230346679688,19.274408545234422,18.466820256411918,19.025153323128656,598779000
2022-06-06,18.730031967163086,19.279391018883036,18.508693228823383,19.081980946985432,422406000
2022-06-07,18.869613647460938,18.9433925831492,18.133811531545238,18.416965795176733,388914000
2022-06-08,18.596372604370117,19.12689931949138,18.4836845843309,18.74695362356912,363252000
2022-06-09,17.998031616210938,18.880581583160353,17.991051027241866,18.429833350813585,395574000
2022-06-10,16.927011489868164,17.648009569524117,16.82230071773937,17.551277974686933,465248000
2022-06-13,15.603680610656738,16.266839478389468,15.562793756532253,15.955702996068341,604153000
2022-06-14,15.792156219482422,16.021518975223227,15.369329385877796,15.687446432401757,469680000
2022-06-15,16.481246948242188,16.82130252550863,15.88190997775459,16.050441789659057,563936000
2022-06-16,15.557807922363281,15.897864407425715,15.358361819515217,15.816090696879078,545749000
2022-06-17,15.836036682128906,15.95071807890091,15.285564836382378,15.60467861906416,630334000
2022-06-21,16.52013397216797,16.960909651002094,16.36157379723121,16.429386318006205,483089000
2022-06-22,16.314706802368164,16.61587073985761,16.135204840649315,16.181077014713374,437135000
2022-06-23,16.180082321166992,16.53908438669256,15.80911149125112,16.473267119438244,463680000
2022-06-24,17.078584671020508,17.09254584996885,16.26484385133375,16.454318352824092,472153000
2022-06-27,16.822296142578125,17.282020263994987,16.579968879448046,17.26407044859053,427968000
2022-06-28,15.937753677368164,17.154375384027293,15.90085545872729,16.85321143493184,461149000
2022-06-29,15.498970985412598,15.776201206281394,15.128001145361374,15.770218251263673,482352000
2022-06-30,15.11703109741211,15.523901498559498,14.820853441865891,15.318471504237966,686070000
2022-07-01,14.482791900634766,15.021296837715987,14.352155016267275,14.857751323588166,577610000
2022-07-05,14.92257022857666,14.929550817854716,14.016087452919178,14.135755105271844,651397000
2022-07-06,15.088112831115723,15.276589715480245,14.748056331462374,14.968445164272264,529066000
2022-07-07,15.814095497131348,15.900854523259023,15.346394102933195,15.413208995404638,492903000
2022-07-08,15.794150352478027,15.992599747893234,15.346393120597432,15.387279970974781,467972000
