date,Close,High,Low,Open,Volume
Ticker,ACN,ACN,ACN,ACN,ACN
Date,,,,,
2022-05-31,280.4279479980469,284.99433651389654,278.77430133457705,284.1299074947426,4143700
2022-06-01,280.60650634765625,288.17954435974326,279.4132460512911,285.75543241176763,1784600
2022-06-02,288.0949401855469,288.226495571396,279.8829937897086,281.8373138492813,1318500
2022-06-03,286.52587890625,288.2828947221365,283.6789432493545,284.0359607427223,1714500
2022-06-06,286.3191833496094,293.4506160104669,285.41716288133017,291.2707762228287,1401000
2022-06-07,288.01043701171875,288.3487018739354,282.2601924182692,282.27897375969087,2311100
2022-06-08,284.3554992675781,288.8373012165344,283.5004750369752,286.5729020577785,1428600
2022-06-09,277.5810852050781,284.33669137165646,276.9421754479296,282.4857111385891,2497900
2022-06-10,268.73016357421875,273.6253833502355,268.70197722901327,273.31533355297523,2169900
2022-06-13,259.7947692871094,264.314162437223,258.25383898975565,259.94510604834915,2414200
2022-06-14,258.49810791015625,260.49942457858634,256.1397450620699,258.05650268907635,2052600
2022-06-15,264.2013244628906,268.57978432576493,259.41885082475983,260.2456883849655,2536000
2022-06-16,254.5330810546875,258.76120541996073,252.83243777055966,258.714237729868,2741800
2022-06-17,258.742431640625,261.7584857473347,254.5612748432471,256.13976777070224,4446100
2022-06-21,265.6483459472656,267.13287466099155,260.89405765205305,261.345039198602,2550200
2022-06-22,269.09661865234375,272.81736003908713,262.22826785871405,262.22826785871405,2939000
2022-06-23,268.56103515625,268.9838590369862,258.38536240946985,259.32494554550425,3482100
2022-06-24,281.28302001953125,281.5085108135361,267.7530275769673,268.16644648184547,4647900
2022-06-27,274.9408264160156,282.8145380772027,274.02005324792856,280.87899901416665,2107500
2022-06-28,266.6536865234375,278.6145903465361,266.3624180408166,275.38242201635364,2167500
2022-06-29,262.9047546386719,264.16379259837197,258.62025783814573,261.5987489917553,2405800
2022-06-30,260.8752746582031,263.70342931908186,258.6860583774481,260.5746011468278,2562200
2022-07-01,263.6940002441406,265.3100843780291,259.58802654537203,260.80947314737307,2400200
2022-07-05,258.5450744628906,259.7101482421378,253.386744140356,259.58799786067505,3181300
2022-07-06,259.2685546875,262.340981004517,258.34775295612684,261.1665021667552,2260300
2022-07-07,262.51947021484375,262.8577349868564,257.8309604749663,260.50877761436533,2169100
2022-07-08,262.2094421386719,262.9047244028032,258.5544504014443,260.875221624308,1987600
2022-07-11,258.2632141113281,261.24170529321833,256.8068717081685,260.0484163495308,1850000
2022-07-12,257.13568115234375,262.4161327971216,255.97998378954932,258.00948642299994,2280400
2022-07-13,256.63592529296875,259.39868880236764,252.07214269674293,252.89251166757361,2185200
2022-07-14,253.3357391357422,254.5898170546989,246.82953190148615,253.1848676429107,1877700
2022-07-15,256.02301025390625,257.27711673891275,251.6289758783841,256.5699229209255,1741100
2022-07-18,253.3168182373047,259.5872642950999,252.69448422833784,257.4185481107103,2048900
2022-07-19,264.05682373046875,264.49056133532815,256.23052604045074,256.8434505401194,1942100
2022-07-20,265.5843200683594,267.47017050232415,263.5004633960506,264.01906075507327,2158500
2022-07-21,271.5718688964844,271.77931357076665,264.73566188027075,265.1316743102156,1546800
2022-07-22,271.5718688964844,274.46662710133535,269.4879836943521,271.0909678843322,1502400
2022-07-25,272.77880859375,273.0333880099326,269.1579796846468,271.7887199792373,1354700
2022-07-26,268.9034118652344,272.2319367968982,267.4701758659659,271.47760811850316,1710700
2022-07-27,280.548583984375,282.4155865749269,271.5153716075884,272.3545602228728,1821500
2022-07-28,286.3475341796875,287.1207397940264,277.9460667148851,280.02995224444214,1845400
2022-07-29,288.7802734375,290.19466120065505,285.63090680463654,287.14900252470915,1868000
2022-08-01,287.3470153808594,289.2705908403319,283.8582094167636,285.26315875231023,1425700
2022-08-02,285.2159729003906,289.08194249553145,282.3211861575141,285.1216746424093,1772100
2022-08-03,290.58123779296875,291.7504556969047,284.4050611848847,284.83879866928186,1359800
2022-08-04,292.8819885253906,293.0705850795496,289.85520662895965,291.54305082856183,1624600
2022-08-05,291.6939392089844,291.9202320664447,286.9415877717477,287.46962362301895,1504500
2022-08-08,292.6179504394531,294.95641518113763,290.9112582124267,292.7782603770145,1604700
2022-08-09,292.10870361328125,293.3250559773452,290.25114046784904,290.5151582804889,1761100
2022-08-10,298.4169616699219,299.633314394194,296.4273746410859,297.02142208939136,1474800
2022-08-11,296.4745178222656,301.61344226891873,295.880470414719,299.61444569328194,1570100
2022-08-12,302.1509704589844,302.62243308561796,296.49341893938157,298.68101243315215,1774400
2022-08-15,302.04730224609375,302.6413498945566,299.4636956742285,299.5485555131801,1125300
2022-08-16,302.4715576171875,304.45170637818615,299.96337302336184,300.0293846964139,1596000
2022-08-17,300.2745056152344,302.0471806080149,297.6154499623785,299.30329392617153,1505900
2022-08-18,301.22686767578125,302.5469571626756,298.3603958687515,300.7931301534715,1386200
2022-08-19,297.2948913574219,299.61447926873194,295.6730588787986,298.8129871016821,1672500
2022-08-22,292.3067932128906,294.9941356153288,290.9018439634433,291.67502070814675,1648100
2022-08-23,289.1951904296875,293.50433702327666,289.00659386627547,290.4964031243666,1217900
2022-08-24,288.7802734375,290.4021058902829,286.51722999581773,289.1762858967395,1695500
2022-08-25,292.0899658203125,292.9574697754787,288.4220012913984,289.5912194791555,1722900
2022-08-26,281.1142883300781,292.2219457920398,280.99170345263303,292.14649566324607,1701600
2022-08-29,278.294921875,280.86908892644516,276.4656449180561,278.16289855144396,1662800
2022-08-30,275.8056945800781,280.9917845636351,273.13722821352764,280.5580469131438,1661100
2022-08-31,271.99615478515625,279.03039645222384,271.02494312426364,277.83286320936566,2455000
2022-09-01,272.307373046875,272.53366588369727,267.9133382185529,271.3738575433969,2021400
2022-09-02,267.8567810058594,276.4279680218948,266.67812445069836,275.8716455809542,1889400
2022-09-06,267.2815856933594,269.88406861484185,265.29202721048347,267.7342001766853,2354500
2022-09-07,270.39324951171875,271.600192661107,263.44389513608394,266.05578767692555,1899300
2022-09-08,271.52471923828125,271.8453103374868,266.24433262170174,267.97934022743715,1790700
2022-09-09,273.9668273925781,275.4189398446025,272.4110070104446,272.8824694762902,2005100
2022-09-12,278.40814208984375,279.8696648407402,275.965968938715,277.0974620690162,2026400
2022-09-13,265.4523010253906,273.39174414233474,264.33965615751936,271.65676516807923,1789200
2022-09-14,262.63299560546875,266.45183174841435,260.27568223925596,264.90544914359367,2397600
2022-09-15,258.2294616699219,264.48105987095073,256.1267570515727,261.4071435220632,2198700
2022-09-16,257.11688232421875,258.4652586936596,254.71243414722136,257.4846370299564,3838900
2022-09-19,259.2855529785156,259.62499220033123,254.77837217551448,254.94809178642228,2165200
2022-09-20,254.81607055664062,256.38132968028657,252.35504985086445,256.10787334327017,2390100
2022-09-21,250.27117919921875,259.247815307573,250.10143082077732,254.5897632628489,2746500
2022-09-22,247.3480987548828,255.96641849525872,246.98978264228424,249.0170656850631,3462900
2022-09-23,245.1416473388672,245.499934660599,241.57739205562362,244.34959380656716,3100000
2022-09-26,242.84097290039062,247.38585066014176,242.38835842863773,243.31243551754363,2349800
2022-09-27,241.70945739746094,248.17793963650377,239.75760959337285,244.6608180617514,2495800
2022-09-28,246.98040771484375,248.65881353523727,241.4171544074132,242.33179306534535,2552600
2022-09-29,243.52928161621094,246.20718573740004,241.0965472558511,244.14220601828407,2559100
2022-09-30,242.61463928222656,248.97938429913162,242.28463848716964,243.94416724996412,2924400
2022-10-03,249.77145385742188,251.85531035718444,243.90645834238947,245.4151155440072,1893900
