date,open,high,low,close,volume,Log_Return,rolling_mean_5,rolling_vol_5,rolling_mean_10,rolling_vol_10,ma_5,ma_10,target
2021-01-20,3816.219970703125,3859.75,3816.219970703125,3851.85009765625,4566190000,0.0138394173765108,-3.685956279288055e-05,0.005856853935649584,0.00262057068365185,0.007001835173177313,3794.74599609375,3787.681005859375,0.0003166731613135
2021-01-21,3857.4599609375,3861.449951171875,3845.050048828125,3853.070068359375,4501760000,0.0003166731613135,0.00264788350639538,0.00856618315028386,0.00329874928296673,0.007766073035041296,3804.87802734375,3800.1800048828127,-0.0030151526629377
2021-01-22,3844.239990234375,3852.31005859375,3830.409912109375,3841.469970703125,5110890000,-0.0030151526629377,0.00225660686131286,0.008632012139346052,0.00276105626085068,0.007767977911110062,3813.5240234375,3810.6730224609373,0.0036093175130174
2021-01-25,3851.679931640625,3859.22998046875,3797.159912109375,3855.360107421875,7000840000,0.0036093175130174,0.0024056789424739397,0.00850766034373158,0.00098571498378162,0.006678873312233598,3822.710009765625,3814.441015625,-0.0014899431611535
2021-01-26,3862.9599609375,3870.89990234375,3847.780029296875,3849.6201171875,6137500000,-0.0014899431611535,0.0045707426047331195,0.006613540269098128,0.00079896299573183,0.0065644707425621535,3840.13203125,3817.509033203125,-0.0260133151261003
2021-01-27,3836.830078125,3836.830078125,3732.47998046875,3750.77001953125,9976520000,-0.0260133151261003,0.0026520624453501,0.00672310992503183,0.0013076014412786098,0.0061108967723882985,3850.274072265625,3822.5100341796874,0.0097132987787603
2021-01-28,3755.75,3830.5,3755.75,3787.3798828125,6992770000,0.0097132987787603,-0.00531848405517212,0.01182898697722418,-0.0013353002743883699,0.010603328811699618,3830.058056640625,3817.4680419921874,-0.019500377654792
2021-01-29,3778.050048828125,3778.050048828125,3694.1201171875,3714.239990234375,6643370000,-0.019500377654792,-0.0034391589316827608,0.013566870635323948,-0.0005912760351849499,0.011132489087548008,3816.92001953125,3815.222021484375,0.0159243002346786
2021-02-01,3731.169921875,3784.320068359375,3725.6201171875,3773.860107421875,5436230000,0.0159243002346786,-0.006736203930053619,0.015327021500373687,-0.00216526249378984,0.012640879657007054,3791.4740234375,3807.0920166015626,0.0138025288143106
2021-02-02,3791.840087890625,3843.090087890625,3791.840087890625,3826.31005859375,5514090000,0.0138025288143106,-0.00427320738572138,0.018137028611899954,0.00014876760950586972,0.013688200578209244,3775.1740234375,3807.65302734375,0.0010082606153447
