date,open,high,low,close,volume,Log_Return,rolling_mean_5,rolling_vol_5,rolling_mean_10,rolling_vol_10,ma_5,ma_10,target
2021-01-20,240.95511668561784,245.0552621637616,240.03049471782467,244.39215087890625,2081600,0.0225320593959991,-0.00281266021512662,0.006855158364492475,9.910631988443979e-05,0.008758523299119426,238.92650146484374,241.0588592529297,-0.0143573264665262
2021-01-21,243.2619973615851,244.5228634906089,239.94641282093303,240.9084014892578,1625600,-0.0143573264665262,0.0031974049019423607,0.012525777978173763,0.00178462024237025,0.011225572878021357,239.701708984375,241.4911376953125,-0.0123657845175659
2021-01-22,238.50809726771004,239.44206798403584,236.82696137933337,237.94772338867188,2049600,-0.0123657845175659,0.0006679551014735406,0.01482965849753311,-0.0007385235844200001,0.011777579533460229,239.86235656738282,241.31256256103515,-0.0107734522080164
2021-01-25,235.22985659534407,237.03241317143355,232.6147358348606,235.39796447753903,1921600,-0.0107734522080164,-0.00018044790143901916,0.015561652332521015,-0.0029141377684583298,0.011707872064932337,239.81940002441405,240.60894775390625,0.0037622045841738
2021-01-26,236.4720390887501,237.61148446008625,234.5573963417502,236.2852478027344,1345500,0.0037622045841738,-0.0012735116768584592,0.016191083453268494,-0.00435559066455498,0.011698473481237315,239.51866149902344,239.56099395751954,-0.0276119404713753
2021-01-27,232.24116727836463,234.63213008895585,228.2531082342272,229.85020446777344,1833100,-0.0276119404713753,-0.0022404598423871195,0.015587353086003428,-0.00252656002875687,0.011356122298304586,238.98629760742188,238.9563995361328,0.0130793900134115
2021-01-28,232.7828627013388,236.10779611746307,231.75548922949724,232.87625122070312,1794200,0.0130793900134115,-0.012269259815861999,0.01116929362428552,-0.00453592745695982,0.013842917281766506,236.07790832519532,237.88980865478516,-0.0302102950212823
2021-01-29,231.8488993696749,232.77352127246044,225.76874079069216,225.9461975097656,2494400,-0.0302102950212823,-0.006781916519874459,0.015705507185788645,-0.00305698070920046,0.014926033842479819,234.4714782714844,237.1669174194336,0.0230861990942771
2021-02-01,229.8501760575416,232.46528240135092,227.86081406983016,231.22311401367188,1559700,0.0230861990942771,-0.01035081862061774,0.018978117992951595,-0.00526563326102838,0.01721732668920217,232.07117309570313,235.9452865600586,0.0047550538994444
2021-02-02,233.49267394099405,234.82824519533085,232.2131386482012,232.32521057128903,2010300,0.0047550538994444,-0.0035788883601590403,0.02413108051596522,-0.0024262000185087495,0.019411130327053116,231.2362030029297,235.37743225097657,-0.0015287860035588
2021-02-03,231.8021985051492,233.5954206023706,230.30783963183336,231.9703063964844,2470400,-0.0015287860035588,-0.00338031849710492,0.02421054514818124,-0.0028103891697460197,0.019205648719933327,230.44419555664064,234.71524658203126,0.0185094186318306
2021-02-04,233.0817284564736,236.3226079651282,230.60671177177164,236.30392456054688,1702200,0.0185094186318306,0.0018363123964583803,0.02015435725321455,-0.00521647370970181,0.017065959829162494,230.86821594238282,233.47306213378906,0.0020925483912763
2021-02-05,237.31260640142503,238.86300114883267,235.51004983160144,236.7989196777344,1497700,0.0020925483912763,0.0029223181201422006,0.021038542607774744,-0.0019297991998661296,0.018234775533942153,231.55375061035156,233.01261444091796,0.0147599312377343
2021-02-08,237.1538169899809,240.35734361196853,237.0043782711905,240.31997680664065,1508700,0.0147599312377343,0.00938288680265392,0.01077850669101481,-0.0004839659089819097,0.017885215808040793,233.72429504394532,232.89773406982422,0.0014369709242562
2021-02-09,239.3860225907723,241.7209492896036,238.7322459653519,240.66555786132807,1542600,0.0014369709242562,0.007717633231345361,0.008543584109791136,0.0020693724355931604,0.01807464770028451,235.54366760253907,233.3899353027344,-0.0028758825356226
2021-02-10,240.9831020521873,242.07586027737744,238.9657362356137,239.97442626953125,1428300,-0.0028758825356226,0.00705401663630772,0.00895040816885101,0.0018368490696014002,0.018065404584563013,237.21173706054688,233.82796630859374,0.0078697144343986
2021-02-11,240.9644543337565,242.82304701187928,240.06785039136128,241.8704071044922,1285300,0.0078697144343986,0.00678459732989496,0.009287285504287602,0.00431045486317667,0.015022283310578618,238.81256103515625,234.84038848876952,-0.0058090759733978
2021-02-12,240.4507674924648,241.51547926639137,238.54545928869905,240.4694366455078,1219200,-0.0058090759733978,0.0046566564904085605,0.0068205584749160145,0.0037894873052753803,0.014772651141860663,239.9258575439453,235.73980407714845,-0.0016326754047426
2021-02-16,240.6375365379388,242.3560391441012,239.3486524576864,240.0771484375,1606700,-0.0016326754047426,0.0030763316174737404,0.008314893922637363,0.00622960921006383,0.009664863426586703,240.6599609375,237.19212799072267,0.0067076583088529
2021-02-17,239.7035548811576,244.3360411941786,238.88167042312784,241.6929168701172,1881000,0.0067076583088529,-0.0002021897110216399,0.005207556536432934,0.00375772176016186,0.007868748924144249,240.61139526367188,238.07753143310546,-0.00445383260288
2021-02-18,238.71354269958348,241.0578180309653,237.88230943401163,240.6188507080078,1664300,-0.00445383260288,0.0008519477658977001,0.006082304318448556,0.00395298220110271,0.007920304950135616,240.81686706542968,239.0143020629883,-0.0130490956462351
