Model,MAE,RMSE,Pinball Loss
garch,0.14665549871459918,0.2071975981562874,
historical_volatility,0.1610163102841118,0.24700046955602936,
linear_regression,0.13262124571278758,0.19586751976732714,
quantile_regression_full,0.12341329412303279,0.19780255542351308,0.04180527089654421
quantile_regression,0.1295410307706602,0.19767883258793953,0.042612838105111815
