date,open,high,low,close,volume
2022-05-31,284.1299074947426,284.99433651389654,278.77430133457705,280.4279479980469,4143700
2022-06-01,285.75543241176763,288.17954435974326,279.4132460512911,280.60650634765625,1784600
2022-06-02,281.8373138492813,288.226495571396,279.8829937897086,288.0949401855469,1318500
2022-06-03,284.0359607427223,288.2828947221365,283.6789432493545,286.52587890625,1714500
2022-06-06,291.2707762228287,293.4506160104669,285.41716288133017,286.3191833496094,1401000
2022-06-07,282.27897375969087,288.3487018739354,282.2601924182692,288.01043701171875,2311100
2022-06-08,286.5729020577785,288.8373012165344,283.5004750369752,284.3554992675781,1428600
2022-06-09,282.4857111385891,284.33669137165646,276.9421754479296,277.5810852050781,2497900
2022-06-10,273.31533355297523,273.6253833502355,268.70197722901327,268.73016357421875,2169900
2022-06-13,259.94510604834915,264.314162437223,258.25383898975565,259.7947692871094,2414200
2022-06-14,258.05650268907635,260.49942457858634,256.1397450620699,258.49810791015625,2052600
2022-06-15,260.2456883849655,268.57978432576493,259.41885082475983,264.2013244628906,2536000
2022-06-16,258.714237729868,258.7612054199608,252.8324377705597,254.5330810546875,2741800
2022-06-17,256.13976777070224,261.7584857473347,254.5612748432471,258.742431640625,4446100
2022-06-21,261.345039198602,267.13287466099155,260.89405765205305,265.6483459472656,2550200
2022-06-22,262.22826785871405,272.81736003908713,262.22826785871405,269.0966186523437,2939000
2022-06-23,259.32494554550425,268.9838590369862,258.38536240946985,268.56103515625,3482100
2022-06-24,268.16644648184547,281.5085108135361,267.7530275769673,281.28302001953125,4647900
2022-06-27,280.87899901416665,282.8145380772027,274.02005324792856,274.9408264160156,2107500
2022-06-28,275.38242201635364,278.6145903465361,266.3624180408166,266.6536865234375,2167500
2022-06-29,261.5987489917553,264.163792598372,258.62025783814573,262.9047546386719,2405800
2022-06-30,260.5746011468278,263.70342931908186,258.6860583774481,260.8752746582031,2562200
2022-07-01,260.80947314737307,265.3100843780291,259.58802654537203,263.6940002441406,2400200
2022-07-05,259.58799786067505,259.7101482421378,253.386744140356,258.5450744628906,3181300
2022-07-06,261.1665021667552,262.340981004517,258.34775295612684,259.2685546875,2260300
2022-07-07,260.50877761436533,262.8577349868564,257.8309604749663,262.5194702148437,2169100
2022-07-08,260.875221624308,262.9047244028032,258.5544504014443,262.2094421386719,1987600
2022-07-11,260.0484163495308,261.2417052932184,256.8068717081685,258.2632141113281,1850000
2022-07-12,258.00948642299994,262.4161327971216,255.97998378954927,257.1356811523437,2280400
2022-07-13,252.8925116675736,259.39868880236764,252.07214269674293,256.63592529296875,2185200
2022-07-14,253.1848676429107,254.5898170546989,246.82953190148612,253.3357391357422,1877700
2022-07-15,256.5699229209255,257.27711673891275,251.6289758783841,256.02301025390625,1741100
2022-07-18,257.4185481107103,259.5872642950999,252.69448422833784,253.3168182373047,2048900
2022-07-19,256.8434505401194,264.4905613353281,256.23052604045074,264.05682373046875,1942100
2022-07-20,264.01906075507327,267.4701705023241,263.5004633960506,265.5843200683594,2158500
2022-07-21,265.1316743102156,271.77931357076665,264.73566188027075,271.5718688964844,1546800
2022-07-22,271.0909678843322,274.46662710133535,269.4879836943521,271.5718688964844,1502400
2022-07-25,271.7887199792373,273.0333880099326,269.1579796846468,272.77880859375,1354700
2022-07-26,271.4776081185032,272.2319367968982,267.4701758659659,268.9034118652344,1710700
2022-07-27,272.3545602228728,282.4155865749269,271.5153716075884,280.548583984375,1821500
2022-07-28,280.02995224444214,287.1207397940264,277.9460667148851,286.3475341796875,1845400
2022-07-29,287.14900252470915,290.19466120065505,285.63090680463654,288.7802734375,1868000
2022-08-01,285.26315875231023,289.2705908403319,283.8582094167636,287.3470153808594,1425700
2022-08-02,285.1216746424093,289.08194249553145,282.3211861575141,285.2159729003906,1772100
2022-08-03,284.83879866928186,291.7504556969047,284.4050611848847,290.58123779296875,1359800
2022-08-04,291.54305082856183,293.0705850795496,289.85520662895965,292.8819885253906,1624600
2022-08-05,287.46962362301895,291.9202320664447,286.9415877717477,291.6939392089844,1504500
2022-08-08,292.7782603770145,294.95641518113763,290.9112582124267,292.6179504394531,1604700
2022-08-09,290.5151582804889,293.3250559773452,290.25114046784904,292.10870361328125,1761100
2022-08-10,297.02142208939136,299.633314394194,296.4273746410859,298.4169616699219,1474800
